id,name,type,water,min_tank,temp_min,temp_max,ph_min,ph_max,gh_min,gh_max,kh_min,kh_max,school,bioload,difficulty,img,photo,color,description,popular
1,Neon Tetra,fish,freshwater,10,70,82,5,7.5,1,10,1,5,6,1.0,beginner,🐟,,#00e5ff,Brilliant iridescent blue and red. Peaceful schooling fish perfect for community tanks.,true
2,Cardinal Tetra,fish,freshwater,10,73,84,4.5,7,1,8,1,4,8,1.0,beginner,🐟,,#00e5ff,Deeper red than neons extending full body length. Stunning in blackwater setups.,true
3,Rummy Nose Tetra,fish,freshwater,15,75,84,5.5,7,2,8,2,6,8,2.0,intermediate,🐟,,#00e5ff,Bright red nose with striped tail. Tight schooling behavior is mesmerizing.,false
4,Ember Tetra,fish,freshwater,5,73,84,5,7,1,8,1,5,8,1.0,beginner,🐟,,#00e5ff,Tiny glowing orange jewels. Perfect for nano planted tanks.,true
5,Black Neon Tetra,fish,freshwater,10,73,81,5.5,7.5,2,12,1,6,6,1.0,beginner,🐟,,#00e5ff,Elegant black and iridescent green stripe. Hardy and underrated.,false
6,Congo Tetra,fish,freshwater,20,73,82,6,7.5,3,12,2,8,6,2.0,intermediate,🐟,,#00e5ff,Shimmering rainbow iridescence with flowing fins. A showstopper in groups.,false
7,Serpae Tetra,fish,freshwater,10,72,79,5,7.8,2,15,1,8,6,1.0,beginner,🐟,,#00e5ff,Deep red body with black diamond marking. Can be nippy — keep in larger groups.,false
8,Glowlight Tetra,fish,freshwater,10,74,82,5.5,7,2,10,1,6,6,1.0,beginner,🐟,,#00e5ff,Translucent body with glowing orange-red stripe. Peaceful and elegant.,false
9,Green Neon Tetra,fish,freshwater,10,75,85,4,6.5,0,6,0,3,10,1.0,intermediate,🐟,,#00e5ff,Smaller cousin of the neon with more green-blue iridescence. Loves soft water.,false
10,Diamond Tetra,fish,freshwater,15,72,82,5.5,7.5,2,12,2,8,6,2.0,beginner,🐟,,#00e5ff,Sparkling scales that flash like diamonds under aquarium lights.,false
11,Lemon Tetra,fish,freshwater,10,72,82,5.5,7.5,2,12,2,8,6,1.0,beginner,🐟,,#00e5ff,Translucent yellow body with bright eye. Very peaceful community fish.,false
12,Bloodfin Tetra,fish,freshwater,10,64,82,6,8,3,15,2,10,6,1.0,beginner,🐟,,#00e5ff,Silver body with vivid red fins. Extremely hardy and long-lived.,false
13,Buenos Aires Tetra,fish,freshwater,20,64,82,5.5,8.5,3,20,2,12,6,2.0,beginner,🐟,,#00e5ff,Larger tetra with red fins. Very hardy but may eat live plants.,false
14,Emperor Tetra,fish,freshwater,10,73,81,5,7.5,1,10,1,5,6,1.0,beginner,🐟,,#00e5ff,Dark body with bright blue eyes and sweeping tail fins. Regal appearance.,false
15,Silvertip Tetra,fish,freshwater,10,72,82,6,7.5,2,12,2,8,6,1.0,beginner,🐟,,#00e5ff,Active schooler with silver-tipped fins. Great mid-water swimmer.,false
16,Cherry Barb,fish,freshwater,10,73,81,6,7,4,15,2,8,6,1.0,beginner,🐟,,#00e5ff,"Vibrant red coloration. Hardy, peaceful, and great for planted tanks.",true
17,Tiger Barb,fish,freshwater,20,68,79,6,7.5,4,15,2,10,6,2.0,beginner,🐟,,#00e5ff,Bold orange and black stripes. Semi-aggressive — keep in groups of 6+ to reduce fin nipping.,false
18,Odessa Barb,fish,freshwater,20,70,79,6,7,5,15,2,10,6,2.0,beginner,🐟,,#00e5ff,Males display an intense crimson red stripe. Underappreciated gem.,false
19,Gold Barb,fish,freshwater,10,64,75,6,8,4,18,2,10,6,1.0,beginner,🐟,,#00e5ff,Bright golden-yellow body. Very peaceful and hardy for cooler tanks.,false
20,Rosy Barb,fish,freshwater,20,64,72,6,8,4,18,2,12,6,2.0,beginner,🐟,,#00e5ff,Rosy pink males with green sheen. Tolerates cooler temperatures.,false
21,Checker Barb,fish,freshwater,15,68,79,6,7.5,3,12,2,8,6,2.0,beginner,🐟,,#00e5ff,Checkerboard scale pattern. Peaceful alternative to tiger barbs.,false
22,Denison Barb,fish,freshwater,30,65,79,6.5,7.8,5,15,2,10,6,3.0,intermediate,🐟,,#00e5ff,Torpedo-shaped with red and black racing stripes. Needs swimming space.,true
23,Five-Banded Barb,fish,freshwater,15,68,79,5,7,2,10,1,6,6,2.0,beginner,🐟,,#00e5ff,Five distinct vertical bands. Peaceful and attractive schooler.,false
24,Harlequin Rasbora,fish,freshwater,10,73,82,6,7.5,2,10,1,5,8,1.0,beginner,🐟,,#00e5ff,Copper and black wedge pattern. Peaceful and looks stunning in groups.,true
25,Chili Rasbora,fish,freshwater,5,68,82,4,7,1,6,1,4,8,1.0,intermediate,🐟,,#00e5ff,Tiny ruby-red fish perfect for nano tanks. Thrives in soft acidic water.,true
26,Galaxy Rasbora (Celestial Pearl Danio),fish,freshwater,5,72,79,6.5,7.5,2,10,1,5,6,1.0,beginner,🐟,,#00e5ff,Deep blue body covered in pearl-like spots with red fins. Nano tank superstar.,true
27,Espei Rasbora (Lambchop),fish,freshwater,10,73,82,5,7,2,10,1,5,8,1.0,beginner,🐟,,#00e5ff,Copper body with lambchop-shaped marking. Peaceful and attractive.,false
28,Scissortail Rasbora,fish,freshwater,20,73,78,6,7.5,2,12,2,8,6,2.0,beginner,🐟,,#00e5ff,Distinctive fork-tail with black and white markings. Active swimmer.,false
29,Exclamation Point Rasbora,fish,freshwater,5,73,82,5,7,1,8,1,5,8,1.0,intermediate,🐟,,#00e5ff,Tiny with exclamation mark body pattern. Great for nano setups.,false
30,Phoenix Rasbora,fish,freshwater,5,68,79,5.5,7,1,8,1,5,8,1.0,intermediate,🐟,,#00e5ff,Fiery orange coloration on a tiny body. Soft water preferred.,false
31,Zebra Danio,fish,freshwater,10,64,75,6,8,3,15,2,10,6,1.0,beginner,🐟,,#00e5ff,Classic horizontal stripes. Incredibly hardy and active. Great beginner fish.,true
